epoch,accuracy,loss,val_accuracy,val_loss
0,0.9373441934585571,0.23558910191059113,0.9479753375053406,0.3438260555267334
1,0.95316481590271,0.1949295550584793,0.9479753375053406,0.26235097646713257
2,0.9531649351119995,0.19293226301670074,0.9479753375053406,0.24810737371444702
3,0.9531651139259338,0.19179177284240723,0.9479753375053406,0.25620201230049133
4,0.95316481590271,0.19103118777275085,0.9479753375053406,0.25423237681388855
5,0.9531650543212891,0.1906704604625702,0.9479753375053406,0.2557360827922821
6,0.9531647562980652,0.19027577340602875,0.9479753375053406,0.2575944662094116
7,0.9531650543212891,0.1897553950548172,0.9479753375053406,0.28080424666404724
8,0.9531649351119995,0.1898169219493866,0.9479753375053406,0.27645087242126465
9,0.9531649947166443,0.18933148682117462,0.9479753375053406,0.29286572337150574
10,0.95316481590271,0.18930967152118683,0.9479753375053406,0.28062063455581665
11,0.9531649351119995,0.18894588947296143,0.9479753375053406,0.29340144991874695
12,0.9531649351119995,0.1887374073266983,0.9479753375053406,0.2924973666667938
13,0.9531648755073547,0.18889200687408447,0.9479753375053406,0.27196043729782104
14,0.9531647562980652,0.18877285718917847,0.9479753375053406,0.2905023396015167
15,0.95316481590271,0.1884915977716446,0.9479753375053406,0.3035435974597931
16,0.9531648755073547,0.18869473040103912,0.9479753375053406,0.295197457075119
17,0.9531649351119995,0.18829454481601715,0.9479753375053406,0.2964164912700653
18,0.9531646966934204,0.18862299621105194,0.9479753375053406,0.28686273097991943
19,0.9531648755073547,0.1882558912038803,0.9479753375053406,0.2893250286579132
20,0.9531649947166443,0.1884154975414276,0.9479753375053406,0.28873345255851746
21,0.9531648755073547,0.18811725080013275,0.9479753375053406,0.28558096289634705
22,0.9531649947166443,0.18788860738277435,0.9479753375053406,0.30252760648727417
23,0.9531648755073547,0.18817926943302155,0.9479753375053406,0.29990866780281067
24,0.95316481590271,0.18811297416687012,0.9479753375053406,0.2891659140586853
25,0.9531649351119995,0.18800200521945953,0.9479753375053406,0.28679540753364563
26,0.9531649947166443,0.18785761296749115,0.9479753375053406,0.2839744985103607
27,0.9531647562980652,0.18794690072536469,0.9479753375053406,0.28295114636421204
28,0.9531649947166443,0.18777230381965637,0.9479753375053406,0.28084346652030945
29,0.95316481590271,0.1877913475036621,0.9479753375053406,0.29191794991493225
30,0.95316481590271,0.18761292099952698,0.9479753375053406,0.2923124432563782
31,0.9531649351119995,0.18750819563865662,0.9479753375053406,0.303771436214447
32,0.9531648755073547,0.18756867945194244,0.9479753375053406,0.2996372878551483
33,0.9531649351119995,0.18739615380764008,0.9479753375053406,0.30545946955680847
34,0.9531650543212891,0.18775483965873718,0.9479753375053406,0.29580989480018616
35,0.95316481590271,0.18720796704292297,0.9479753375053406,0.2990955412387848
